file,line,snippet,type,module,target_stage
supabase/migrations/20260328060727_0321d5ea-59b0-473b-94d0-31686a4e9946.sql,90,"('Bucaramanga', COALESCE((SELECT value::numeric FROM public.app_settings WHERE key = 'min_order_amount' LIMIT 1), 40000), true),",SEED,migrations,37
supabase/migrations/20260611022139_e11e8d6b-9011-4642-a0be-73e57f6705e2.sql,108,"VALUES (v_org_id, 'Sede principal', true, true, 'Bucaramanga', 'America/Bogota')",SEED,migrations,37
supabase/migrations/20260523193513_562346e6-dd65-4dad-8453-a1bcadc63183.sql,217,-- 10) Seed: módulos + datos demo para SurteYa,SEED,migrations,37
supabase/migrations/20260523193513_562346e6-dd65-4dad-8453-a1bcadc63183.sql,221,WHERE slug = 'surteya',SEED,migrations,37
supabase/migrations/20260523193513_562346e6-dd65-4dad-8453-a1bcadc63183.sql,234,WHERE o.slug = 'surteya',SEED,migrations,37
supabase/migrations/20260523193513_562346e6-dd65-4dad-8453-a1bcadc63183.sql,247,WHERE o.slug = 'surteya' AND l.is_main = true;,SEED,migrations,37
supabase/migrations/20260523193513_562346e6-dd65-4dad-8453-a1bcadc63183.sql,250,"WITH org AS (SELECT id FROM public.organizations WHERE slug = 'surteya' LIMIT 1),",SEED,migrations,37
src/App.tsx,136,"* - <slug>.sistecpos.com (surteya, futuros tenants) → Storefront (Index)",COPY,other,35/36
src/App.tsx,141,"// Los storefronts (surteya.*, futuros tenants) siguen mostrando la tienda.",COPY,other,35/36
src/App.tsx,220,"{/* === Storefront (solo en hosts de tenant: surteya.sistecpos.com, …) === */}",COPY,other,35/36
supabase/migrations/20260523192833_4bcda66b-f885-4486-b1d9-b431109ad5a6.sql,13,"city text DEFAULT 'Bucaramanga',",SEED,migrations,37
supabase/migrations/20260523192833_4bcda66b-f885-4486-b1d9-b431109ad5a6.sql,232,"SELECT id, 'Sede Principal', 'MAIN', 'Bucaramanga', true, true",SEED,migrations,37
supabase/migrations/20260523192833_4bcda66b-f885-4486-b1d9-b431109ad5a6.sql,233,FROM public.organizations WHERE slug = 'surteya',SEED,migrations,37
supabase/migrations/20260523192833_4bcda66b-f885-4486-b1d9-b431109ad5a6.sql,240,WHERE o.slug = 'surteya' AND l.is_main = true,SEED,migrations,37
supabase/migrations/20260523192833_4bcda66b-f885-4486-b1d9-b431109ad5a6.sql,245,"SELECT id, 'pos_counter', true FROM public.organizations WHERE slug = 'surteya'",SEED,migrations,37
supabase/migrations/20260523192225_5ff59cba-75bf-489a-a2da-711f63fcfa82.sql,125,SELECT id FROM public.organizations WHERE slug = 'surteya' LIMIT 1,SEED,migrations,37
supabase/migrations/20260523192225_5ff59cba-75bf-489a-a2da-711f63fcfa82.sql,174,"VALUES ('surteya', 'SurteYa Bucaramanga', 'hybrid_ecommerce_pos', 'CO', 'COP', 'America/Bogota',",SEED,migrations,37
supabase/migrations/20260523192225_5ff59cba-75bf-489a-a2da-711f63fcfa82.sql,190,WHERE o.slug = 'surteya',SEED,migrations,37
supabase/migrations/20260523192225_5ff59cba-75bf-489a-a2da-711f63fcfa82.sql,196,FROM public.organizations WHERE slug = 'surteya',SEED,migrations,37
supabase/migrations/20260523192225_5ff59cba-75bf-489a-a2da-711f63fcfa82.sql,203,"(SELECT id FROM public.organizations WHERE slug = 'surteya'),",SEED,migrations,37
supabase/migrations/20260523192225_5ff59cba-75bf-489a-a2da-711f63fcfa82.sql,255,SELECT id INTO v_org FROM public.organizations WHERE slug = 'surteya';,SEED,migrations,37
src/modules/platform/context/ThemeContext.tsx,13,"const STORAGE_KEY = ""surteya_theme_pref"";",CONFIG,platform,34/36/37
src/modules/platform/context/ThemeContext.test.tsx,26,"expect(localStorage.getItem(""surteya_theme_pref"")).toBe(""dark"");",TEST,platform,39
src/modules/platform/context/OrganizationContext.tsx,31,"const STORAGE_KEY = ""surteya:currentOrgId"";",CONFIG,platform,34/36/37
supabase/migrations/20260610043229_5f1a3206-26b0-4be7-9ff3-6ae1c3ff9f1b.sql,18,"VALUES (v_org, 'Sede Demo Centro', 'DEMO-01', 'Cra 27 #36-15', 'Bucaramanga', true, true)",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,4,"('Bucaramanga', 120000, true),",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,21,"('salsa-de-pina', 'Salsa de Piña al Mayor', 'Salsa de Piña al Mayor en Bucaramanga | SURTÉ YA', 'Compra salsa de piña artesanal al mayor y detal. Directo de fábrica La Unión. Envío gratis +$120.000 en",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,22,"('pulpas-de-fruta', 'Pulpas de Fruta Naturales', 'Pulpas de Fruta al Mayor en Bucaramanga | SURTÉ YA', 'Pulpas de fruta 100% naturales. Mora, lulo, maracuyá, guanábana y más. Envío gratis en Bucaraman",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,23,"('carnicos-al-mayor', 'Cárnicos al Mayor', 'Cárnicos al Mayor en Bucaramanga | SURTÉ YA', 'Cárnicos al mayor y detal: carne para hamburguesa, milanesas, pollo desmechado. Envío gratis en Bucaramanga.'",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,24,"('salsa-tartara', 'Salsa Tártara Artesanal', 'Salsa Tártara al Mayor en Bucaramanga | SURTÉ YA', 'Salsa tártara artesanal al mayor. Ideal para restaurantes y comidas rápidas. Envío gratis +$120.000.',",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,25,"('proveedores-restaurantes-bucaramanga', 'Proveedores para Restaurantes', 'Proveedor de Restaurantes en Bucaramanga | SURTÉ YA', 'Somos tu proveedor ideal para restaurantes en Bucaramanga. Salsas, cár",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,26,"('comidas-rapidas-insumos', 'Insumos para Comidas Rápidas', 'Insumos para Comidas Rápidas en Bucaramanga | SURTÉ YA', 'Todo lo que necesitas para tu negocio de comidas rápidas. Salsas, cárnicos y más ",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,27,"('distribuidor-salsas-santander', 'Distribuidor de Salsas en Santander', 'Distribuidor de Salsas en Santander | SURTÉ YA', 'Distribución de salsas artesanales en Santander. Tártara, piña, rosada y más",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,28,"('hamburguesas-al-mayor', 'Carne para Hamburguesa al Mayor', 'Carne para Hamburguesa al Mayor | SURTÉ YA', 'Carne para hamburguesa al mayor en Bucaramanga. Diferentes gramajes. Envío gratis +$120.000.",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,29,"('milanesas-al-mayor', 'Milanesas al Mayor', 'Milanesas de Pollo al Mayor en Bucaramanga | SURTÉ YA', 'Milanesas de pollo al mayor. Cryspi y tradicional. Ideales para restaurantes y comidas rápidas.',",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,30,"('pedidos-por-whatsapp', 'Pedidos por WhatsApp', 'Pedidos por WhatsApp en Bucaramanga | SURTÉ YA', 'Haz tu pedido fácil y rápido por WhatsApp. Salsas, cárnicos y pulpas con envío gratis en Bucaramanga",SEED,migrations,37
supabase/migrations/20260409204503_c2f3bfba-b146-4cae-97d7-a3a4fb6402ea.sql,44,"('seo_default_description', 'Salsas, cárnicos y pulpas al mayor en Bucaramanga. Directo de fábrica a tu negocio.'),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,6,"('Bucaramanga', 120000, true),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,29,"'Salsa de Piña al por Mayor en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,30,"'Salsa de Piña al por Mayor en Bucaramanga | SURTÉ YA',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,31,"'Compra salsa de piña artesanal al por mayor en Bucaramanga. Precios especiales para restaurantes, hoteles y negocios HORECA. Envío a domicilio en el área metropolitana.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,33,'<h2>La Mejor Salsa de Piña para tu Negocio</h2><p>En <strong>SURTÉ YA</strong> somos distribuidores mayoristas de salsa de piña artesanal en Bucaramanga y su área metropolitana. Nuestra salsa de piña,SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,34,"'Bucaramanga', 'seo', true, 0),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,37,"'Salsa Tártara al por Mayor en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,38,"'Salsa Tártara al por Mayor en Bucaramanga | SURTÉ YA',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,39,"'Distribuidores de salsa tártara al por mayor en Bucaramanga. Calidad premium para restaurantes y negocios HORECA. Entrega a domicilio en el área metropolitana.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,41,'<h2>Salsa Tártara Premium para Profesionales</h2><p><strong>SURTÉ YA</strong> es tu proveedor de confianza de salsa tártara al por mayor en Bucaramanga. Nuestra salsa tártara es la elección preferida,SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,42,"'Bucaramanga', 'seo', true, 0),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,45,"'Salsas al por Mayor en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,46,"'Salsas al por Mayor Bucaramanga | SURTÉ YA — Precios de Fábrica',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,47,"'Compra salsas al por mayor en Bucaramanga con precios de fábrica. Salsa de piña, tártara, BBQ y más. Envíos a todo Santander. Pedidos por WhatsApp.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,48,"'Salsas al por Mayor — Precios de Fábrica en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,49,"'<p>En <strong>SURTÉ YA</strong> somos distribuidores autorizados de <strong>La Unión</strong>, la fábrica líder en producción de salsas artesanales en Santander. Ofrecemos precios mayoristas directos",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,50,"'Bucaramanga', 'keyword', true, 1),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,53,"'Pulpas de Fruta al por Mayor en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,54,"'Pulpas de Fruta Mayorista Bucaramanga | SURTÉ YA',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,55,"'Pulpas de fruta 100% naturales al por mayor en Bucaramanga. Maracuyá, mango, lulo, guanábana y más. Envíos a domicilio en Santander.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,56,"'Pulpas de Fruta Naturales — Mayorista Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,57,"'<p>Distribuimos <strong>pulpas de fruta 100% naturales</strong> al por mayor en Bucaramanga y toda el área metropolitana. Producto fresco, sin conservantes artificiales, directo de fábrica.</p><h2>Sa",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,58,"'Bucaramanga', 'keyword', true, 2),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,61,"'Domicilios Bucaramanga — Salsas y Pulpas a tu Puerta',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,62,"'Domicilios Bucaramanga — Salsas y Pulpas | SURTÉ YA',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,63,"'Servicio de domicilios de salsas, pulpas y productos alimenticios en Bucaramanga. Pedidos por WhatsApp con entrega rápida en el área metropolitana.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,64,"'Domicilios en Bucaramanga — Tu Pedido a la Puerta',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,65,"'<p>En <strong>SURTÉ YA</strong> llevamos tus salsas, pulpas y productos alimenticios hasta la puerta de tu negocio o casa en Bucaramanga y el área metropolitana.</p><h2>¿Cómo funciona?</h2><ol><li>El",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,66,"'Bucaramanga', 'local', true, 3),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,69,"'Domicilios de Alimentos en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,70,"'Domicilios de Alimentos Bucaramanga | SURTÉ YA — Pedidos por WhatsApp',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,71,"'Pide alimentos a domicilio en Bucaramanga. Salsas, pulpas, cárnicos y más con envío rápido. Pedidos fáciles por WhatsApp.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,72,"'Domicilios de Alimentos a tu Puerta en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,73,'<p><strong>SURTÉ YA</strong> es tu aliado para surtir tu negocio o tu hogar con alimentos de calidad en Bucaramanga. Realizamos domicilios en toda el área metropolitana.</p><h2>Cobertura de Domicilio,SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,74,"'Bucaramanga', 'ciudad', true, 3),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,77,"'Distribuidores de Salsas en Santander',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,78,"'Distribuidores de Salsas Santander | SURTÉ YA — La Unión',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,79,"'Somos distribuidores oficiales de salsas La Unión en Santander. Precios mayoristas para HORECA, minimercados y distribuidores.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,80,"'Red de Distribución de Salsas La Unión en Santander',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,81,"'<p>Como distribuidores oficiales de <strong>La Unión</strong> en Santander, ofrecemos la línea completa de salsas con precios especiales para el canal mayorista y distribuidores.</p><h2>Beneficios pa",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,82,"'Bucaramanga', 'keyword', true, 4),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,85,"'Proveedor HORECA en Bucaramanga — SURTÉ YA',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,86,"'Proveedor HORECA Bucaramanga | SURTÉ YA — Salsas y Pulpas',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,87,"'Proveedor mayorista para el sector HORECA en Bucaramanga. Salsas, pulpas y productos alimenticios con precios especiales para hoteles, restaurantes y catering.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,88,"'Tu Proveedor HORECA de Confianza en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,89,"'<p><strong>SURTÉ YA</strong> es el proveedor ideal para el sector HORECA (Hoteles, Restaurantes, Catering) en Bucaramanga. Ofrecemos productos alimenticios de alta calidad con precios especiales para",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,90,"'Bucaramanga', 'seo', true, 4),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,93,"'Agua al por Mayor en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,94,"'Agua al por Mayor Bucaramanga | SURTÉ YA — Envíos a Domicilio',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,95,"'Distribución de agua al por mayor en Bucaramanga. Botellones, pacas y más con domicilio. Precios mayoristas para negocios.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,96,"'Agua Potable al por Mayor — Distribución en Bucaramanga',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,97,"'<p>Distribuimos <strong>agua potable</strong> al por mayor en Bucaramanga y el área metropolitana. Ideal para oficinas, restaurantes, tiendas y hogares que necesitan abastecimiento constante.</p><h2>",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,98,"'Bucaramanga', 'keyword', true, 5),",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,101,"'Distribuidor de Salsas en Santander — SURTÉ YA',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,102,"'Distribuidor Salsas Santander | SURTÉ YA — La Unión',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,103,"'Distribuidor autorizado de salsas La Unión en Santander. Salsas artesanales al por mayor para todo el departamento. Contacta por WhatsApp.',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,104,"'Distribuidor de Salsas La Unión en Santander',",SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,105,'<p>Somos <strong>distribuidores autorizados</strong> de salsas <strong>La Unión</strong> para todo el departamento de Santander. Nuestro catálogo incluye las mejores salsas artesanales colombianas.</,SEED,migrations,37
supabase/migrations/20260409201412_b2c75e4e-28e1-4339-b414-5c2442d3183b.sql,106,"'Santander', 'seo', true, 5)",SEED,migrations,37
src/components/SurteyaRedirect.tsx,7,* `/surteya/...` cuando el visitante NO está en el subdominio del tenant,COPY,components,35/36
src/components/SurteyaRedirect.tsx,10,* En el subdominio `surteya.sistecpos.com` no hace nada → renderiza children.,COPY,components,35/36
src/components/SurteyaRedirect.tsx,16,"const LEGACY_TENANT_SLUG = ""surteya"";",CONFIG,components,34/36/37
src/components/SurteyaRedirect.tsx,17,"const CANONICAL_HOST = ""https://surteya.sistecpos.com"";",CONFIG,components,34/36/37
src/components/SurteyaRedirect.tsx,21,"/** Path bajo `/surteya/` al que se redirige. Ej: ""/catalogo"" → /surteya/catalogo */",COPY,components,35/36
src/components/SurteyaRedirect.tsx,49,// En sistecpos.com / app / www: redirigir a /surteya/* (client-side 301 equivalente).,COPY,components,35/36
src/modules/storefront/pages/ProductoDetalle.tsx,214,"const baseUrl = ""https://surteya.com"";",CONFIG,storefront,34/36/37
src/modules/storefront/pages/ProductoDetalle.tsx,479,description={product.meta_description || product.description || `Compra ${product.name} al mejor precio en Bucaramanga`},COPY,storefront,35/36
supabase/migrations/20260317020123_647fac5b-6613-4b5a-9862-fcf249afbe41.sql,1,ALTER TABLE public.profiles ALTER COLUMN city SET DEFAULT 'Bucaramanga';,SEED,migrations,37
supabase/migrations/20260317010101_d2cef913-519f-48af-8b85-3547a17c1532.sql,4,"('Cárnicos', 'carnicos', 'Drumstick', '#C0392B', 1),",SEED,migrations,37
supabase/migrations/20260317010101_d2cef913-519f-48af-8b85-3547a17c1532.sql,5,"('Pulpas', 'pulpas', 'Cherry', '#E91E63', 2),",SEED,migrations,37
supabase/migrations/20260317010101_d2cef913-519f-48af-8b85-3547a17c1532.sql,8,"('Panificados', 'panificados', 'Croissant', '#795548', 5)",SEED,migrations,37
supabase/migrations/20260317010101_d2cef913-519f-48af-8b85-3547a17c1532.sql,28,"('Precios de Fábrica', 'Cárnicos, pulpas y más directo del productor a tu negocio', 'Ver Catálogo', '/catalogo', 1),",SEED,migrations,37
supabase/functions/get-landing/index.ts,2,"// Consumido por sistecpos.com, surteya.com y cualquier tenant Astro.",CONFIG,fn/get-landing,34/36/37
src/modules/superadmin/lib/cloudflareDrafts.test.ts,91,"const a = mockConnect(""surteya.com"", ""saas"");",TEST,superadmin,39
src/modules/superadmin/lib/cloudflareDrafts.test.ts,92,"const b = mockConnect(""surteya.com"", ""saas"");",TEST,superadmin,39
src/modules/superadmin/lib/cloudflareDrafts.test.ts,97,"const saas = mockConnect(""surteya.com"", ""saas"");",TEST,superadmin,39
src/modules/superadmin/lib/cloudflareDrafts.test.ts,98,"const own = mockConnect(""surteya.com"", ""cloudflare_account"");",TEST,superadmin,39
supabase/migrations/20260324044901_71defaff-5295-4c1e-8a8e-ee1542287b77.sql,5,"city text NOT NULL DEFAULT 'Bucaramanga',",SEED,migrations,37
src/modules/superadmin/lib/cloudTasks.ts,220,"id: ""domain-surteya"",",COPY,superadmin,35/36
src/modules/superadmin/lib/cloudTasks.ts,222,"title: ""Registro de surteya.com en Cloudflare"",",COPY,superadmin,35/36
src/modules/superadmin/lib/cloudTasks.ts,228,"supabase.from(""tenant_domains"").select(""id"").eq(""hostname"", ""surteya.com"").maybeSingle(),",CONFIG,superadmin,34/36/37
supabase/migrations/20260314144744_b54b27d5-ed3e-48ef-a581-af1efd9a94be.sql,172,"('Cárnicos', 'carnicos', 'Drumstick', '#C0392B', 1),",SEED,migrations,37
supabase/migrations/20260314144744_b54b27d5-ed3e-48ef-a581-af1efd9a94be.sql,173,"('Pulpas', 'pulpas', 'Cherry', '#E91E63', 2),",SEED,migrations,37
supabase/migrations/20260314144744_b54b27d5-ed3e-48ef-a581-af1efd9a94be.sql,176,"('Panificados', 'panificados', 'Croissant', '#8D6E63', 5);",SEED,migrations,37
supabase/functions/sitemap/index.ts,8,const BASE_URL = 'https://surteya.com';,CONFIG,fn/sitemap,34/36/37
supabase/functions/sitemap/index.ts,53,// fallback al comportamiento legacy (surteya) para mantener compatibilidad.,CONFIG,fn/sitemap,34/36/37
src/modules/onboarding/components/SubdomainPreview.tsx,80,"placeholder=""surteya""",COPY,onboarding,35/36
supabase/functions/auth-email-hook/index.ts,40,"const SENDER_DOMAIN = ""notify.surteya.com""",CONFIG,fn/auth-email-hook,34/36/37
supabase/functions/auth-email-hook/index.ts,41,"const ROOT_DOMAIN = ""surteya.com""",CONFIG,fn/auth-email-hook,34/36/37
supabase/functions/auth-email-hook/index.ts,42,"const FROM_DOMAIN = ""surteya.com"" // Domain shown in From address (may be root or sender subdomain)",CONFIG,fn/auth-email-hook,34/36/37
supabase/functions/_shared/transactional-email-templates/order-confirmation.tsx,135,"address: 'Cra 27 #36-15, Cabecera, Bucaramanga',",CONFIG,fn/_shared,34/36/37
src/modules/cart/lib/cartToken.ts,5,"const TOKEN_KEY = ""surteya_cart_token"";",CONFIG,cart,34/36/37
src/modules/integrations/whatsapp/whatsappFlowTemplate.ts,4,* This schema mirrors the SurteYa `products` table fields so that the,COPY,integrations,35/36
src/modules/integrations/whatsapp/whatsappFlowTemplate.ts,33,"title: ""Catálogo SurteYa"",",COPY,integrations,35/36
src/modules/integrations/whatsapp/whatsappFlowTemplate.ts,56,"image_url: ""https://surteya.com/img/mango.jpg"",",COPY,integrations,35/36
src/modules/cart/context/CartContext.tsx,53,"const STORAGE_KEY = ""surteya_cart"";",CONFIG,cart,34/36/37
src/modules/cart/context/CartContext.test.tsx,90,"const raw = localStorage.getItem(""surteya_cart"");",TEST,cart,39
